"Clade","Bank","Introduced_SR","Native_SR","Total_SR"
"Typhlopidae","aruba",1,0,1
"Typhlopidae","aves",0,0,0
"Typhlopidae","barbados",1,0,1
"Typhlopidae","bermuda",0,0,0
"Typhlopidae","blanquilla",0,0,0
"Typhlopidae","bonaire",0,0,0
"Typhlopidae","caicos",1,1,2
"Typhlopidae","cay sal",0,1,1
"Typhlopidae","cayman brac",0,1,1
"Typhlopidae","chinchorro",0,0,0
"Typhlopidae","conception",0,0,0
"Typhlopidae","corn",0,0,0
"Typhlopidae","cozumel",0,0,0
"Typhlopidae","crooked acklins",0,0,0
"Typhlopidae","cuba",1,12,13
"Typhlopidae","curacao",1,0,1
"Typhlopidae","desecheo",0,0,0
"Typhlopidae","dominica",0,1,1
"Typhlopidae","glover",0,0,0
"Typhlopidae","grand cayman",1,1,2
"Typhlopidae","great bahama",1,2,3
"Typhlopidae","great inagua",0,1,1
"Typhlopidae","grenada",0,1,1
"Typhlopidae","guadeloupe",1,1,2
"Typhlopidae","guanaja",0,0,0
"Typhlopidae","hispaniola",0,13,13
"Typhlopidae","iles des saintes",0,0,0
"Typhlopidae","ilsa de providencia",0,0,0
"Typhlopidae","jamaica",0,1,1
"Typhlopidae","klein curacao",0,0,0
"Typhlopidae","las aves",0,0,0
"Typhlopidae","lighthouse atoll",0,0,0
"Typhlopidae","little bahama",1,1,2
"Typhlopidae","little cayman",0,0,0
"Typhlopidae","little inagua",0,0,0
"Typhlopidae","marie galante",0,0,0
"Typhlopidae","martinique",1,0,1
"Typhlopidae","mayaguana",0,0,0
"Typhlopidae","mira por vos",0,0,0
"Typhlopidae","mona",0,1,1
"Typhlopidae","monito",0,0,0
"Typhlopidae","monjes",0,0,0
"Typhlopidae","montserrat",1,1,2
"Typhlopidae","morant",0,0,0
"Typhlopidae","navassa",0,1,1
"Typhlopidae","orchila",0,0,0
"Typhlopidae","pedro",0,0,0
"Typhlopidae","plana cays",0,0,0
"Typhlopidae","puerto rico",0,7,7
"Typhlopidae","redonda",0,0,0
"Typhlopidae","roatan",0,0,0
"Typhlopidae","roques",0,0,0
"Typhlopidae","rum cay",0,0,0
"Typhlopidae","saba",0,0,0
"Typhlopidae","samana",0,0,0
"Typhlopidae","san andres",0,0,0
"Typhlopidae","san salvador",0,0,0
"Typhlopidae","sombrero",0,0,0
"Typhlopidae","st christopher",3,1,4
"Typhlopidae","st croix",1,1,2
"Typhlopidae","st lucia",0,0,0
"Typhlopidae","st vincent",0,0,0
"Typhlopidae","swan",0,0,0
"Typhlopidae","testigos",0,0,0
"Typhlopidae","tobago",0,1,1
"Typhlopidae","tortuga",0,0,0
"Typhlopidae","trinidad",0,2,2
"Typhlopidae","turks",1,1,2
"Typhlopidae","turneffe",0,0,0
"Typhlopidae","utila",1,0,1
"Testudines","anguilla",2,0,2
"Testudines","antigua",1,0,1
"Testudines","aruba",1,0,1
"Testudines","aves",0,0,0
"Testudines","barbados",1,0,1
"Testudines","bermuda",1,1,2
"Testudines","blanquilla",0,0,0
"Testudines","bonaire",0,0,0
"Testudines","caicos",0,0,0
"Testudines","cay sal",0,0,0
"Testudines","cayman brac",1,0,1
"Testudines","chinchorro",0,0,0
"Testudines","conception",0,0,0
"Testudines","corn",0,1,1
"Testudines","cozumel",0,4,4
"Testudines","crooked acklins",0,0,0
"Testudines","cuba",0,2,2
"Testudines","curacao",0,1,1
"Testudines","desecheo",0,0,0
"Testudines","dominica",1,0,1
"Testudines","glover",0,0,0
"Testudines","grand cayman",2,0,2
"Testudines","great bahama",1,1,2
"Testudines","great inagua",1,0,1
"Testudines","grenada",1,0,1
"Testudines","guadeloupe",3,0,3
"Testudines","guanaja",0,3,3
"Testudines","hispaniola",1,3,4
"Testudines","iles des saintes",4,0,4
"Testudines","ilsa de providencia",1,0,1
"Testudines","jamaica",2,1,3
"Testudines","klein curacao",0,0,0
"Testudines","las aves",0,0,0
"Testudines","lighthouse atoll",0,0,0
"Testudines","little bahama",1,0,1
"Testudines","little cayman",0,0,0
"Testudines","little inagua",0,0,0
"Testudines","marie galante",2,0,2
"Testudines","martinique",2,0,2
"Testudines","mayaguana",0,0,0
"Testudines","mira por vos",0,0,0
"Testudines","mona",0,0,0
"Testudines","monito",0,0,0
"Testudines","monjes",0,0,0
"Testudines","montserrat",1,0,1
"Testudines","morant",0,0,0
"Testudines","navassa",0,0,0
"Testudines","orchila",0,0,0
"Testudines","pedro",0,0,0
"Testudines","plana cays",0,0,0
"Testudines","puerto rico",4,1,5
"Testudines","redonda",0,0,0
"Testudines","roatan",0,1,1
"Testudines","roques",0,0,0
"Testudines","rum cay",0,0,0
"Testudines","saba",0,0,0
"Testudines","samana",0,0,0
"Testudines","san andres",0,1,1
"Testudines","san salvador",0,1,1
"Testudines","sombrero",0,0,0
"Testudines","st christopher",1,0,1
"Testudines","st croix",2,0,2
"Testudines","st lucia",1,0,1
"Testudines","st vincent",1,0,1
"Testudines","swan",0,0,0
"Testudines","testigos",1,0,1
"Testudines","tobago",0,0,0
"Testudines","tortuga",0,0,0
"Testudines","trinidad",2,5,7
"Testudines","turks",0,0,0
"Testudines","turneffe",0,1,1
"Testudines","utila",1,1,2
"Iguanidae","anguilla",1,1,2
"Iguanidae","antigua",0,1,1
"Iguanidae","aruba",0,1,1
"Iguanidae","aves",0,0,0
"Iguanidae","barbados",0,0,0
"Iguanidae","bermuda",0,0,0
"Iguanidae","blanquilla",0,1,1
"Iguanidae","bonaire",0,1,1
"Iguanidae","caicos",0,1,1
"Iguanidae","cay sal",0,0,0
"Iguanidae","cayman brac",1,1,2
"Iguanidae","chinchorro",0,2,2
"Iguanidae","conception",0,0,0
"Iguanidae","corn",0,2,2
"Iguanidae","cozumel",0,2,2
"Iguanidae","crooked acklins",0,1,1
"Iguanidae","cuba",1,1,2
"Iguanidae","curacao",0,1,1
"Iguanidae","desecheo",0,0,0
"Iguanidae","dominica",0,1,1
"Iguanidae","glover",1,1,2
"Iguanidae","grand cayman",2,1,3
"Iguanidae","great bahama",2,4,6
"Iguanidae","great inagua",0,0,0
"Iguanidae","grenada",0,1,1
"Iguanidae","guadeloupe",0,2,2
"Iguanidae","guanaja",0,2,2
"Iguanidae","hispaniola",0,2,2
"Iguanidae","iles des saintes",0,2,2
"Iguanidae","ilsa de providencia",1,1,2
"Iguanidae","jamaica",0,1,1
"Iguanidae","klein curacao",0,0,0
"Iguanidae","las aves",0,1,1
"Iguanidae","lighthouse atoll",0,2,2
"Iguanidae","little bahama",0,0,0
"Iguanidae","little cayman",1,1,2
"Iguanidae","little inagua",0,0,0
"Iguanidae","marie galante",1,1,2
"Iguanidae","martinique",1,1,2
"Iguanidae","mayaguana",1,0,1
"Iguanidae","mira por vos",0,0,0
"Iguanidae","mona",0,1,1
"Iguanidae","monito",0,0,0
"Iguanidae","monjes",0,0,0
"Iguanidae","montserrat",0,1,1
"Iguanidae","morant",0,0,0
"Iguanidae","navassa",0,1,1
"Iguanidae","orchila",0,1,1
"Iguanidae","pedro",0,0,0
"Iguanidae","plana cays",0,0,0
"Iguanidae","puerto rico",2,1,3
"Iguanidae","redonda",0,0,0
"Iguanidae","roatan",0,3,3
"Iguanidae","roques",0,1,1
"Iguanidae","rum cay",0,0,0
"Iguanidae","saba",0,1,1
"Iguanidae","samana",0,0,0
"Iguanidae","san andres",1,1,2
"Iguanidae","san salvador",0,1,1
"Iguanidae","sombrero",0,0,0
"Iguanidae","st christopher",1,1,2
"Iguanidae","st croix",1,0,1
"Iguanidae","st lucia",1,0,1
"Iguanidae","st vincent",0,1,1
"Iguanidae","swan",0,1,1
"Iguanidae","testigos",0,1,1
"Iguanidae","tobago",0,1,1
"Iguanidae","tortuga",0,1,1
"Iguanidae","trinidad",0,1,1
"Iguanidae","turks",0,1,1
"Iguanidae","turneffe",0,0,0
"Iguanidae","utila",1,2,3
"Cryptodira","anguilla",2,0,2
"Cryptodira","antigua",1,0,1
"Cryptodira","aruba",1,0,1
"Cryptodira","aves",0,0,0
"Cryptodira","barbados",1,0,1
"Cryptodira","bermuda",1,1,2
"Cryptodira","blanquilla",0,0,0
"Cryptodira","bonaire",0,0,0
"Cryptodira","caicos",0,0,0
"Cryptodira","cay sal",0,0,0
"Cryptodira","cayman brac",1,0,1
"Cryptodira","chinchorro",0,0,0
"Cryptodira","conception",0,0,0
"Cryptodira","corn",0,1,1
"Cryptodira","cozumel",0,4,4
"Cryptodira","crooked acklins",0,0,0
"Cryptodira","cuba",0,2,2
"Cryptodira","curacao",0,1,1
"Cryptodira","desecheo",0,0,0
"Cryptodira","dominica",1,0,1
"Cryptodira","glover",0,0,0
"Cryptodira","grand cayman",2,0,2
"Cryptodira","great bahama",1,1,2
"Cryptodira","great inagua",1,0,1
"Cryptodira","grenada",1,0,1
"Cryptodira","guadeloupe",2,0,2
"Cryptodira","guanaja",0,3,3
"Cryptodira","hispaniola",1,3,4
"Cryptodira","iles des saintes",3,0,3
"Cryptodira","ilsa de providencia",1,0,1
"Cryptodira","jamaica",2,1,3
"Cryptodira","klein curacao",0,0,0
"Cryptodira","las aves",0,0,0
"Cryptodira","lighthouse atoll",0,0,0
"Cryptodira","little bahama",1,0,1
"Cryptodira","little cayman",0,0,0
"Cryptodira","little inagua",0,0,0
"Cryptodira","marie galante",2,0,2
"Cryptodira","martinique",2,0,2
"Cryptodira","mayaguana",0,0,0
"Cryptodira","mira por vos",0,0,0
"Cryptodira","mona",0,0,0
"Cryptodira","monito",0,0,0
"Cryptodira","monjes",0,0,0
"Cryptodira","montserrat",1,0,1
"Cryptodira","morant",0,0,0
"Cryptodira","navassa",0,0,0
"Cryptodira","orchila",0,0,0
"Cryptodira","pedro",0,0,0
"Cryptodira","plana cays",0,0,0
"Cryptodira","puerto rico",4,1,5
"Cryptodira","redonda",0,0,0
"Cryptodira","roatan",0,1,1
"Cryptodira","roques",0,0,0
"Cryptodira","rum cay",0,0,0
"Cryptodira","saba",0,0,0
"Cryptodira","samana",0,0,0
"Cryptodira","san andres",0,1,1
"Cryptodira","san salvador",0,1,1
"Cryptodira","sombrero",0,0,0
"Cryptodira","st christopher",1,0,1
"Cryptodira","st croix",2,0,2
"Cryptodira","st lucia",1,0,1
"Cryptodira","st vincent",1,0,1
"Cryptodira","swan",0,0,0
"Cryptodira","testigos",1,0,1
"Cryptodira","tobago",0,0,0
"Cryptodira","tortuga",0,0,0
"Cryptodira","trinidad",2,3,5
"Cryptodira","turks",0,0,0
"Cryptodira","turneffe",0,1,1
"Cryptodira","utila",1,1,2
"Amphibia","anguilla",6,0,6
"Amphibia","antigua",3,1,4
"Amphibia","aruba",2,1,3
"Amphibia","aves",0,0,0
"Amphibia","barbados",2,0,2
"Amphibia","bermuda",2,0,2
"Amphibia","blanquilla",0,0,0
"Amphibia","bonaire",3,0,3
"Amphibia","caicos",2,0,2
"Amphibia","cay sal",0,0,0
"Amphibia","cayman brac",0,2,2
"Amphibia","chinchorro",0,0,0
"Amphibia","conception",0,1,1
"Amphibia","corn",0,6,6
"Amphibia","cozumel",0,8,8
"Amphibia","crooked acklins",0,1,1
"Amphibia","cuba",1,68,69
"Amphibia","curacao",3,0,3
"Amphibia","desecheo",0,0,0
"Amphibia","dominica",0,3,3
"Amphibia","glover",0,0,0
"Amphibia","grand cayman",2,2,4
"Amphibia","great bahama",2,4,6
"Amphibia","great inagua",2,0,2
"Amphibia","grenada",4,1,5
"Amphibia","guadeloupe",3,4,7
"Amphibia","guanaja",2,5,7
"Amphibia","hispaniola",2,74,76
"Amphibia","iles des saintes",1,1,2
"Amphibia","ilsa de providencia",0,1,1
"Amphibia","jamaica",4,21,25
"Amphibia","klein curacao",0,0,0
"Amphibia","las aves",0,0,0
"Amphibia","lighthouse atoll",0,0,0
"Amphibia","little bahama",4,2,6
"Amphibia","little cayman",0,1,1
"Amphibia","little inagua",0,0,0
"Amphibia","marie galante",2,1,3
"Amphibia","martinique",5,1,6
"Amphibia","mayaguana",0,0,0
"Amphibia","mira por vos",0,0,0
"Amphibia","mona",1,1,2
"Amphibia","monito",0,0,0
"Amphibia","monjes",0,0,0
"Amphibia","montserrat",2,1,3
"Amphibia","morant",0,0,0
"Amphibia","navassa",0,0,0
"Amphibia","orchila",0,0,0
"Amphibia","pedro",0,0,0
"Amphibia","plana cays",0,0,0
"Amphibia","puerto rico",7,19,26
"Amphibia","redonda",0,0,0
"Amphibia","roatan",0,4,4
"Amphibia","roques",0,0,0
"Amphibia","rum cay",0,1,1
"Amphibia","saba",1,0,1
"Amphibia","samana",0,0,0
"Amphibia","san andres",0,1,1
"Amphibia","san salvador",1,2,3
"Amphibia","sombrero",0,0,0
"Amphibia","st christopher",3,0,3
"Amphibia","st croix",5,2,7
"Amphibia","st lucia",5,2,7
"Amphibia","st vincent",3,1,4
"Amphibia","swan",0,0,0
"Amphibia","testigos",0,0,0
"Amphibia","tobago",1,16,17
"Amphibia","tortuga",0,0,0
"Amphibia","trinidad",1,31,32
"Amphibia","turks",2,0,2
"Amphibia","turneffe",0,1,1
"Amphibia","utila",0,4,4
"Neobatrachia","anguilla",6,0,6
"Neobatrachia","antigua",3,1,4
"Neobatrachia","aruba",2,1,3
"Neobatrachia","aves",0,0,0
"Neobatrachia","barbados",2,0,2
"Neobatrachia","bermuda",2,0,2
"Neobatrachia","blanquilla",0,0,0
"Neobatrachia","bonaire",3,0,3
"Neobatrachia","caicos",2,0,2
"Neobatrachia","cay sal",0,0,0
"Neobatrachia","cayman brac",0,2,2
"Neobatrachia","chinchorro",0,0,0
"Neobatrachia","conception",0,1,1
"Neobatrachia","corn",0,6,6
"Neobatrachia","cozumel",0,8,8
"Neobatrachia","crooked acklins",0,1,1
"Neobatrachia","cuba",1,68,69
"Neobatrachia","curacao",3,0,3
"Neobatrachia","desecheo",0,0,0
"Neobatrachia","dominica",0,3,3
"Neobatrachia","glover",0,0,0
"Neobatrachia","grand cayman",2,2,4
"Neobatrachia","great bahama",2,4,6
"Neobatrachia","great inagua",2,0,2
"Neobatrachia","grenada",4,1,5
"Neobatrachia","guadeloupe",3,4,7
"Neobatrachia","guanaja",2,5,7
"Neobatrachia","hispaniola",2,74,76
"Neobatrachia","iles des saintes",1,1,2
"Neobatrachia","ilsa de providencia",0,1,1
"Neobatrachia","jamaica",4,21,25
"Neobatrachia","klein curacao",0,0,0
"Neobatrachia","las aves",0,0,0
"Neobatrachia","lighthouse atoll",0,0,0
"Neobatrachia","little bahama",4,2,6
"Neobatrachia","little cayman",0,1,1
"Neobatrachia","little inagua",0,0,0
"Neobatrachia","marie galante",2,1,3
"Neobatrachia","martinique",5,1,6
"Neobatrachia","mayaguana",0,0,0
"Neobatrachia","mira por vos",0,0,0
"Neobatrachia","mona",1,1,2
"Neobatrachia","monito",0,0,0
"Neobatrachia","monjes",0,0,0
"Neobatrachia","montserrat",2,1,3
"Neobatrachia","morant",0,0,0
"Neobatrachia","navassa",0,0,0
"Neobatrachia","orchila",0,0,0
"Neobatrachia","pedro",0,0,0
"Neobatrachia","plana cays",0,0,0
"Neobatrachia","puerto rico",7,19,26
"Neobatrachia","redonda",0,0,0
"Neobatrachia","roatan",0,4,4
"Neobatrachia","roques",0,0,0
"Neobatrachia","rum cay",0,1,1
"Neobatrachia","saba",1,0,1
"Neobatrachia","samana",0,0,0
"Neobatrachia","san andres",0,1,1
"Neobatrachia","san salvador",1,2,3
"Neobatrachia","sombrero",0,0,0
"Neobatrachia","st christopher",3,0,3
"Neobatrachia","st croix",5,2,7
"Neobatrachia","st lucia",5,2,7
"Neobatrachia","st vincent",3,1,4
"Neobatrachia","swan",0,0,0
"Neobatrachia","testigos",0,0,0
"Neobatrachia","tobago",1,16,17
"Neobatrachia","tortuga",0,0,0
"Neobatrachia","trinidad",1,30,31
"Neobatrachia","turks",2,0,2
"Neobatrachia","turneffe",0,1,1
"Neobatrachia","utila",0,4,4
"Eleutherodactylus","anguilla",3,0,3
"Eleutherodactylus","antigua",1,1,2
"Eleutherodactylus","aruba",1,0,1
"Eleutherodactylus","aves",0,0,0
"Eleutherodactylus","barbados",1,0,1
"Eleutherodactylus","bermuda",1,0,1
"Eleutherodactylus","blanquilla",0,0,0
"Eleutherodactylus","bonaire",1,0,1
"Eleutherodactylus","caicos",1,0,1
"Eleutherodactylus","cay sal",0,0,0
"Eleutherodactylus","cayman brac",0,1,1
"Eleutherodactylus","chinchorro",0,0,0
"Eleutherodactylus","conception",0,0,0
"Eleutherodactylus","corn",0,0,0
"Eleutherodactylus","cozumel",0,1,1
"Eleutherodactylus","crooked acklins",0,0,0
"Eleutherodactylus","cuba",0,57,57
"Eleutherodactylus","curacao",1,0,1
"Eleutherodactylus","desecheo",0,0,0
"Eleutherodactylus","dominica",0,2,2
"Eleutherodactylus","glover",0,0,0
"Eleutherodactylus","grand cayman",0,1,1
"Eleutherodactylus","great bahama",0,2,2
"Eleutherodactylus","great inagua",1,0,1
"Eleutherodactylus","grenada",1,0,1
"Eleutherodactylus","guadeloupe",1,3,4
"Eleutherodactylus","guanaja",1,0,1
"Eleutherodactylus","hispaniola",0,66,66
"Eleutherodactylus","iles des saintes",1,1,2
"Eleutherodactylus","ilsa de providencia",0,0,0
"Eleutherodactylus","jamaica",2,17,19
"Eleutherodactylus","klein curacao",0,0,0
"Eleutherodactylus","las aves",0,0,0
"Eleutherodactylus","lighthouse atoll",0,0,0
"Eleutherodactylus","little bahama",0,1,1
"Eleutherodactylus","little cayman",0,0,0
"Eleutherodactylus","little inagua",0,0,0
"Eleutherodactylus","marie galante",1,1,2
"Eleutherodactylus","martinique",1,1,2
"Eleutherodactylus","mayaguana",0,0,0
"Eleutherodactylus","mira por vos",0,0,0
"Eleutherodactylus","mona",0,1,1
"Eleutherodactylus","monito",0,0,0
"Eleutherodactylus","monjes",0,0,0
"Eleutherodactylus","montserrat",1,0,1
"Eleutherodactylus","morant",0,0,0
"Eleutherodactylus","navassa",0,0,0
"Eleutherodactylus","orchila",0,0,0
"Eleutherodactylus","pedro",0,0,0
"Eleutherodactylus","plana cays",0,0,0
"Eleutherodactylus","puerto rico",2,17,19
"Eleutherodactylus","redonda",0,0,0
"Eleutherodactylus","roatan",0,0,0
"Eleutherodactylus","roques",0,0,0
"Eleutherodactylus","rum cay",0,0,0
"Eleutherodactylus","saba",1,0,1
"Eleutherodactylus","samana",0,0,0
"Eleutherodactylus","san andres",0,0,0
"Eleutherodactylus","san salvador",0,1,1
"Eleutherodactylus","sombrero",0,0,0
"Eleutherodactylus","st christopher",1,0,1
"Eleutherodactylus","st croix",3,1,4
"Eleutherodactylus","st lucia",1,1,2
"Eleutherodactylus","st vincent",1,0,1
"Eleutherodactylus","swan",0,0,0
"Eleutherodactylus","testigos",0,0,0
"Eleutherodactylus","tobago",1,0,1
"Eleutherodactylus","tortuga",0,0,0
"Eleutherodactylus","trinidad",1,0,1
"Eleutherodactylus","turks",1,0,1
"Eleutherodactylus","turneffe",0,0,0
"Eleutherodactylus","utila",0,0,0
"Hylidae","anguilla",1,0,1
"Hylidae","antigua",1,0,1
"Hylidae","aruba",0,0,0
"Hylidae","aves",0,0,0
"Hylidae","barbados",0,0,0
"Hylidae","bermuda",0,0,0
"Hylidae","blanquilla",0,0,0
"Hylidae","bonaire",1,0,1
"Hylidae","caicos",1,0,1
"Hylidae","cay sal",0,0,0
"Hylidae","cayman brac",0,1,1
"Hylidae","chinchorro",0,0,0
"Hylidae","conception",0,1,1
"Hylidae","corn",0,4,4
"Hylidae","cozumel",0,4,4
"Hylidae","crooked acklins",0,1,1
"Hylidae","cuba",0,1,1
"Hylidae","curacao",1,0,1
"Hylidae","desecheo",0,0,0
"Hylidae","dominica",0,0,0
"Hylidae","glover",0,0,0
"Hylidae","grand cayman",0,1,1
"Hylidae","great bahama",0,2,2
"Hylidae","great inagua",1,0,1
"Hylidae","grenada",1,0,1
"Hylidae","guadeloupe",1,0,1
"Hylidae","guanaja",0,3,3
"Hylidae","hispaniola",0,4,4
"Hylidae","iles des saintes",0,0,0
"Hylidae","ilsa de providencia",0,0,0
"Hylidae","jamaica",0,4,4
"Hylidae","klein curacao",0,0,0
"Hylidae","las aves",0,0,0
"Hylidae","lighthouse atoll",0,0,0
"Hylidae","little bahama",2,1,3
"Hylidae","little cayman",0,1,1
"Hylidae","little inagua",0,0,0
"Hylidae","marie galante",1,0,1
"Hylidae","martinique",2,0,2
"Hylidae","mayaguana",0,0,0
"Hylidae","mira por vos",0,0,0
"Hylidae","mona",0,0,0
"Hylidae","monito",0,0,0
"Hylidae","monjes",0,0,0
"Hylidae","montserrat",0,0,0
"Hylidae","morant",0,0,0
"Hylidae","navassa",0,0,0
"Hylidae","orchila",0,0,0
"Hylidae","pedro",0,0,0
"Hylidae","plana cays",0,0,0
"Hylidae","puerto rico",2,0,2
"Hylidae","redonda",0,0,0
"Hylidae","roatan",0,2,2
"Hylidae","roques",0,0,0
"Hylidae","rum cay",0,1,1
"Hylidae","saba",0,0,0
"Hylidae","samana",0,0,0
"Hylidae","san andres",0,0,0
"Hylidae","san salvador",1,1,2
"Hylidae","sombrero",0,0,0
"Hylidae","st christopher",1,0,1
"Hylidae","st croix",1,0,1
"Hylidae","st lucia",2,0,2
"Hylidae","st vincent",0,0,0
"Hylidae","swan",0,0,0
"Hylidae","testigos",0,0,0
"Hylidae","tobago",0,6,6
"Hylidae","tortuga",0,0,0
"Hylidae","trinidad",0,14,14
"Hylidae","turks",1,0,1
"Hylidae","turneffe",0,0,0
"Hylidae","utila",0,2,2
